DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0229",1695,232,217,234,275,238,261,238
"0230",1981,242,262,281,315,305,287,289
"0231",1715,221,208,261,257,245,265,258
"0232",1827,246,237,255,273,280,254,282
"0233",1769,211,225,277,269,266,259,262
"0234",1874,219,213,290,301,262,323,266
"0235",1884,243,218,296,286,259,309,273
"0236",1826,231,198,272,300,299,263,263
"0237",1855,229,210,306,265,258,306,281
"0238",1758,193,201,280,288,275,257,264
"0239",1680,194,201,275,278,231,243,258
"0240",1899,251,232,272,279,306,294,265
"0241",1756,219,213,269,259,284,256,256
"0242",1830,226,205,266,306,264,291,272
"0243",1687,204,192,273,262,262,265,229
"0244",1768,204,197,268,290,261,291,257
"0245",1969,248,230,300,302,295,311,283
"0246",1725,226,206,285,265,243,247,253
"0247",1801,205,219,277,290,303,279,228
"0248",1825,244,210,293,265,277,277,259
"0249",1820,240,217,293,276,252,282,260
"0250",1909,247,241,287,302,287,284,261
"0251",1758,208,203,262,296,263,271,255
"0252",1773,225,230,259,273,279,253,254
"0253",1739,255,214,256,259,257,264,234
"0254",1726,199,212,276,284,230,277,248
"0255",1916,259,215,319,298,313,256,256
"0256",1700,223,202,268,265,239,263,240
"0257",1747,207,224,240,262,296,259,259
"0258",1740,208,231,266,265,248,279,243
"0259",1725,218,222,235,273,234,272,271
"0300",1960,234,230,321,302,309,299,265
"0301",1794,239,181,246,290,266,312,260
"0302",1819,197,222,265,288,277,285,285
"0303",1803,235,209,257,299,298,265,240
"0304",1749,217,209,269,286,236,268,264
"0305",1884,241,234,282,277,289,278,283
"0306",1803,214,223,260,280,266,275,285
"0307",1772,230,222,245,254,270,293,258
"0308",1754,202,221,252,281,279,246,273
"0309",1638,200,193,246,279,223,245,252
"0310",1860,253,232,266,268,288,311,242
"0311",1663,231,222,257,259,225,264,205
"0312",1737,240,203,256,261,252,267,258
"0313",1751,217,225,269,252,264,243,281
"0314",1750,207,188,262,280,274,278,261
"0315",2041,260,226,294,301,318,309,333
"0316",1741,218,238,247,283,278,244,233
"0317",1744,209,210,257,298,266,249,255
"0318",1735,226,202,235,270,268,293,241
"0319",1724,226,220,266,280,218,279,235
"0320",1967,245,236,332,306,282,295,271
"0321",1859,240,211,291,293,257,295,272
"0322",1716,213,195,258,273,276,268,233
"0323",1749,221,220,268,257,230,288,265
"0324",1858,231,233,305,294,289,246,260
"0325",1863,237,242,273,283,299,275,254
"0326",1824,233,251,267,274,266,246,287
"0327",1714,184,219,251,270,272,274,244
"0328",1782,219,233,248,295,263,249,275
"0329",1711,203,186,266,290,269,260,237
"0330",1986,261,228,329,301,323,290,254
"0331",1801,255,219,277,264,254,257,275
"0332",1815,215,214,292,264,287,298,245
"0333",1768,202,224,297,259,282,263,241
"0334",1673,225,206,252,251,254,242,243
"0335",1819,219,224,290,307,249,280,250
"0336",1748,238,218,282,247,250,256,257
"0337",1783,208,245,280,259,259,274,258
"0338",1829,239,224,245,287,279,291,264
"0339",1747,237,226,258,260,251,257,258
"0340",1831,246,213,270,287,285,299,231
"0341",1799,244,230,285,266,276,255,243
"0342",1749,221,229,266,261,282,264,226
"0343",1772,216,239,269,276,269,251,252
"0344",1722,207,201,265,240,281,294,234
"0345",1957,263,205,296,312,309,304,268
"0346",1693,209,218,254,246,269,256,241
"0347",1691,218,187,254,289,256,243,244
"0348",1771,237,231,259,260,292,239,253
"0349",1717,224,204,264,255,252,280,238
"0350",1866,241,231,270,275,288,291,270
"0351",1666,216,190,242,267,231,263,257
"0352",1772,231,226,271,267,258,276,243
"0353",1710,203,212,265,270,267,260,233
"0354",1756,223,220,249,260,281,299,224
"0355",1812,218,247,274,272,286,248,267
"0356",1754,211,217,276,252,268,281,249
"0357",1770,225,242,245,276,241,270,271
"0358",1780,207,256,273,287,242,275,240
"0359",1748,189,235,239,286,264,281,254
"0400",2022,250,295,293,315,287,328,254
"0401",1720,191,227,275,270,233,257,267
"0402",1699,207,221,260,255,268,257,231
"0403",1745,215,211,259,274,255,261,270
"0404",1762,203,241,252,283,282,276,225
"0405",1864,243,240,274,285,278,256,288
"0406",1709,197,207,266,267,263,257,252
"0407",1768,201,208,288,318,256,269,228
"0408",1688,206,222,263,262,218,273,244
"0409",1717,235,192,260,259,264,271,236
"0410",1804,242,237,252,281,287,270,235
"0411",1738,227,236,267,261,238,257,252
"0412",1797,223,221,267,255,280,299,252
"0413",1751,219,215,246,307,263,266,235
"0414",1692,211,192,277,269,240,268,235
"0415",1937,247,237,314,301,286,301,251
"0416",1810,210,233,280,295,261,269,262
"0417",1685,212,218,244,265,252,259,235
"0418",1784,233,213,275,290,264,265,244
"0419",1790,223,221,256,298,279,248,265
"0420",1886,262,211,267,279,286,289,292
"0421",1758,209,224,285,278,244,261,257
"0422",1737,204,240,264,275,254,265,235
"0423",1724,215,193,265,277,263,260,251
"0424",1744,200,240,265,246,260,265,268
"0425",1809,241,224,278,269,276,283,238
"0426",1707,235,225,265,247,251,246,238
"0427",1687,222,209,244,255,264,235,258
"0428",1713,224,208,261,289,241,237,253
"0429",1735,223,216,248,260,272,251,265
"0430",1934,263,248,278,287,308,277,273
"0431",1663,220,222,281,259,232,234,215
"0432",1840,251,232,287,264,282,267,257
"0433",1751,228,228,283,251,259,271,231
"0434",1794,218,224,270,246,308,280,248
"0435",1766,210,229,257,243,294,267,266
"0436",1705,235,190,248,284,255,253,240
"0437",1707,222,205,260,247,289,261,223
"0438",1729,202,239,280,258,271,245,234
"0439",1767,215,235,262,267,261,281,246
"0440",1839,214,234,285,317,273,289,227
"0441",1676,236,233,242,252,238,243,232
"0442",1771,229,240,286,239,274,272,231
"0443",1687,240,240,245,250,233,237,242
"0444",1720,233,207,258,245,264,261,252
"0445",1984,243,278,307,294,266,309,287
"0446",1741,217,227,256,262,274,265,240
"0447",1719,217,208,242,268,294,254,236
"0448",1761,240,218,257,283,240,263,260
"0449",1708,212,226,255,276,234,249,256
"0450",1909,231,227,285,290,301,274,301
"0451",1775,235,213,273,268,274,288,224
"0452",1752,229,217,255,266,240,302,243
"0453",1736,235,216,252,240,275,275,243
"0454",1653,208,192,252,259,286,242,214
"0455",1817,232,229,269,291,281,272,243
"0456",1662,203,221,266,238,247,244,243
"0457",1718,213,219,289,256,251,268,222
"0458",1759,217,234,251,275,245,302,235
"0459",1686,202,218,261,233,268,261,243
"0500",1965,247,259,288,315,283,288,285
"0501",1722,213,203,262,281,273,254,236
"0502",1718,228,200,265,248,256,276,245
"0503",1794,233,224,264,277,254,274,268
"0504",1753,220,209,247,274,276,264,263
"0505",1781,245,241,260,262,277,240,256
"0506",1712,216,223,262,252,256,246,257
"0507",1686,204,241,232,250,273,252,234
"0508",1796,236,213,264,275,271,276,261
"0509",1649,212,219,255,247,229,257,230
"0510",1862,222,210,256,324,303,270,277
"0511",1769,226,231,275,282,278,253,224
"0512",1770,226,227,259,269,282,254,253
"0513",1796,220,239,270,278,286,256,247
"0514",1732,220,221,254,265,267,263,242
"0515",2027,268,259,307,279,321,300,293
"0516",1719,208,224,242,263,248,292,242
"0517",1709,215,225,256,254,267,239,253
"0518",1770,238,211,253,292,230,304,242
"0519",1761,205,234,245,268,254,272,283
"0520",1883,244,230,285,285,304,299,236
"0521",1778,201,238,289,286,270,260,234
"0522",1789,223,251,243,268,282,261,261
"0523",1800,240,247,298,259,235,274,247
"0524",1797,227,226,276,289,264,253,262
"0525",1891,229,262,296,285,278,285,256
"0526",1741,246,211,249,264,249,262,260
"0527",1688,225,220,283,237,227,257,239
"0528",1809,220,245,274,268,266,260,276
"0529",1757,238,217,268,279,253,264,238
"0530",2106,266,297,303,302,331,340,267
"0531",1695,223,208,278,236,247,251,252
"0532",1747,228,228,245,258,260,291,237
"0533",1709,192,206,263,265,264,286,233
"0534",1795,203,219,278,262,276,286,271
"0535",1784,195,260,258,267,271,288,245
"0536",1817,229,259,257,283,263,288,238
"0537",1823,230,209,264,314,276,250,280
"0538",1739,227,204,249,284,245,277,253
"0539",1721,189,265,235,260,267,261,244
"0540",1885,254,245,300,288,280,282,236
"0541",1765,229,252,267,243,259,258,257
"0542",1784,216,237,277,256,271,268,259
"0543",1772,219,231,274,269,254,247,278
"0544",1806,224,250,312,270,237,237,276
"0545",1968,263,247,297,289,302,291,279
"0546",1703,217,218,274,251,245,237,261
"0547",1781,220,242,239,299,252,266,263
"0548",1765,214,226,250,288,251,289,247
"0549",1736,217,199,257,260,259,279,265
"0550",1948,237,268,260,315,291,301,276
"0551",1713,226,220,276,262,241,251,237
"0552",1809,221,213,276,301,268,272,258
"0553",1723,239,221,280,254,264,250,215
"0554",1843,234,245,267,300,296,251,250
"0555",1886,229,261,290,284,314,263,245
"0556",1822,208,232,251,319,280,289,243
"0557",1664,187,238,241,260,258,246,234
"0558",1789,212,237,285,301,245,261,248
"0559",1754,228,251,263,276,263,251,222
"0600",1978,230,247,303,311,319,287,281
"0601",1695,203,232,260,252,255,252,241
"0602",1829,212,221,288,276,268,288,276
"0603",1700,241,188,269,263,234,260,245
"0604",1777,233,243,252,272,277,264,236
"0605",1862,220,226,293,298,277,296,252
"0606",1779,216,243,283,266,284,261,226
"0607",1756,245,215,249,249,281,269,248
"0608",1745,218,233,267,270,286,249,222
"0609",1845,217,242,296,288,263,291,248
"0610",1893,253,239,261,306,275,298,261
"0611",1770,190,251,285,285,250,266,243
"0612",1863,247,246,268,285,266,293,258
"0613",1764,239,241,266,272,240,276,230
"0614",1927,233,253,300,265,300,270,306
"0615",1942,240,240,316,319,263,312,252
"0616",1827,218,245,255,306,273,271,259
"0617",1881,235,218,290,324,256,309,249
"0618",1779,207,241,279,260,276,266,250
"0619",1838,226,242,279,284,265,302,240
"0620",2043,260,272,342,288,291,305,285
"0621",1888,229,259,264,320,286,265,265
"0622",1820,226,244,276,276,284,274,240
"0623",1852,212,245,279,299,285,286,246
"0624",1887,215,266,286,294,268,274,284
