DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0237",355,35,25,66,51,55,65,58
"0238",359,24,21,60,68,58,73,55
"0239",380,39,26,61,67,68,66,53
"0240",406,39,31,65,68,74,64,65
"0241",395,36,37,64,60,74,65,59
"0242",396,39,23,63,78,68,68,57
"0243",394,35,31,69,76,57,65,61
"0244",364,31,21,63,63,60,73,53
"0245",418,36,37,67,69,65,74,70
"0246",333,34,30,58,64,52,48,47
"0247",383,32,24,72,73,73,52,57
"0248",390,35,25,67,55,78,65,65
"0249",386,33,33,68,69,52,75,56
"0250",373,35,32,58,69,63,59,57
"0251",379,41,22,65,74,55,62,60
"0252",373,34,29,62,78,64,58,48
"0253",377,41,37,57,61,54,72,55
"0254",384,40,40,57,74,65,59,49
"0255",368,32,30,59,70,61,59,57
"0256",356,39,30,55,63,60,55,54
"0257",383,36,34,49,57,79,68,60
"0258",352,33,24,55,65,53,73,49
"0259",382,38,30,56,70,60,74,54
"0300",405,35,30,73,74,69,65,59
"0301",359,37,23,57,73,54,59,56
"0302",389,31,29,56,67,67,80,59
"0303",380,37,26,53,66,73,68,57
"0304",382,30,33,64,73,61,65,56
"0305",408,46,29,73,68,78,57,57
"0306",359,26,21,61,57,64,65,65
"0307",354,41,27,48,59,62,59,58
"0308",374,28,28,59,77,66,57,59
"0309",374,40,25,59,79,55,61,55
"0310",397,35,40,69,71,78,62,42
"0311",356,48,35,53,67,53,54,46
"0312",392,36,34,72,56,63,66,65
"0313",369,32,40,59,44,57,68,69
"0314",375,35,23,57,63,65,59,73
"0315",395,39,33,72,65,62,65,59
"0316",352,42,23,52,64,77,55,39
"0317",358,38,29,63,68,56,54,50
"0318",382,31,30,56,62,64,78,61
"0319",350,34,26,67,70,47,55,51
"0320",399,36,27,74,74,58,70,60
"0321",370,32,34,54,71,55,66,58
"0322",356,33,28,55,83,62,53,42
"0323",369,31,29,62,66,46,73,62
"0324",394,38,33,73,63,71,72,44
"0325",350,40,28,49,54,72,61,46
"0326",354,37,34,66,60,48,52,57
"0327",361,31,35,49,60,62,76,48
"0328",372,33,37,50,62,70,54,66
"0329",351,27,30,58,55,63,64,54
"0330",396,36,42,74,58,69,56,61
"0331",358,44,24,59,48,66,60,57
"0332",393,41,32,71,61,62,68,58
"0333",393,41,32,61,66,66,67,60
"0334",358,40,29,57,59,61,51,61
"0335",355,29,29,59,72,50,71,45
"0336",349,39,33,52,50,51,64,60
"0337",312,30,37,43,60,40,57,45
"0338",365,33,25,49,72,64,62,60
"0339",353,42,24,57,54,60,62,54
"0340",384,44,26,59,71,58,76,50
"0341",352,29,23,67,53,62,65,53
"0342",370,37,31,60,71,56,59,56
"0343",346,39,22,56,61,51,65,52
"0344",337,30,24,64,53,56,67,43
"0345",369,48,25,56,59,68,68,45
"0346",361,35,23,67,54,60,62,60
"0347",342,28,31,56,60,51,59,57
"0348",339,40,32,48,57,63,47,52
"0349",340,27,28,66,54,57,63,45
"0350",363,37,37,60,57,59,58,55
"0351",340,31,24,44,71,52,59,59
"0352",353,37,32,48,65,60,63,48
"0353",347,26,35,66,58,62,57,43
"0354",362,27,41,51,53,62,71,57
"0355",349,34,36,69,57,60,41,52
"0356",345,34,19,65,58,60,57,52
"0357",346,31,33,47,51,55,73,56
"0358",351,27,32,64,55,63,66,44
"0359",355,30,31,52,60,69,63,50
"0400",369,43,34,63,65,53,71,40
"0401",341,32,33,55,55,46,55,65
"0402",373,41,39,62,63,55,53,60
"0403",341,29,27,58,56,57,63,51
"0404",341,28,24,60,64,59,58,48
"0405",367,37,28,65,60,70,51,56
"0406",323,25,26,54,59,53,56,50
"0407",351,26,28,61,74,52,54,56
"0408",334,29,32,64,53,42,64,50
"0409",369,45,33,53,63,55,68,52
"0410",366,41,37,57,59,63,58,51
"0411",338,29,32,44,63,53,43,74
"0412",355,33,21,53,60,65,59,64
"0413",329,34,30,44,56,61,52,52
"0414",331,31,31,58,51,53,50,57
"0415",398,47,29,70,71,61,61,59
"0416",374,36,33,62,62,68,62,51
"0417",313,32,27,44,48,53,55,54
"0418",378,31,28,57,71,74,59,58
"0419",349,32,28,67,70,57,47,48
"0420",372,37,28,67,71,57,58,54
"0421",369,29,35,61,65,52,68,59
"0422",330,18,32,50,65,59,57,49
"0423",351,30,36,51,64,50,72,48
"0424",319,21,26,52,55,53,62,50
"0425",342,33,34,57,54,60,57,47
"0426",323,32,22,62,51,59,44,53
"0427",339,39,24,52,64,57,51,52
"0428",315,27,21,59,68,49,45,46
"0429",323,25,26,44,66,52,53,57
"0430",366,39,28,67,67,62,53,50
"0431",317,26,32,60,54,50,47,48
"0432",363,32,39,61,53,72,63,43
"0433",353,30,30,60,61,62,54,56
"0434",347,37,27,62,55,56,62,48
"0435",342,26,27,49,65,70,51,54
"0436",316,24,16,52,62,44,58,60
"0437",356,20,25,73,67,63,57,51
"0438",327,26,28,65,52,59,51,46
"0439",361,26,39,70,60,54,57,55
"0440",358,30,25,54,71,67,64,47
"0441",331,24,36,49,64,54,47,57
"0442",342,35,36,64,45,59,56,47
"0443",301,32,31,41,58,47,49,43
"0444",348,37,21,49,73,61,51,56
"0445",382,35,32,74,67,57,60,57
"0446",330,29,27,60,60,60,42,52
"0447",309,24,21,44,48,67,62,43
"0448",317,28,19,55,57,51,62,45
"0449",325,28,37,50,58,45,49,58
"0450",380,32,32,43,75,65,73,60
"0451",320,31,21,49,52,59,65,43
"0452",310,26,32,51,63,38,51,49
"0453",325,31,34,39,62,55,56,48
"0454",300,27,21,60,49,62,47,34
"0455",297,28,24,60,46,44,55,40
"0456",314,22,30,64,32,56,60,50
"0457",337,30,28,68,48,42,72,49
"0458",332,32,26,51,52,42,74,55
"0459",342,29,26,54,64,60,48,61
"0500",357,35,39,46,71,50,55,61
"0501",340,23,31,65,78,56,50,37
"0502",303,23,24,56,51,44,54,51
"0503",336,26,24,60,66,52,55,53
"0504",361,33,29,64,56,74,54,51
"0505",325,31,26,63,53,53,50,49
"0506",317,40,25,49,51,54,54,44
"0507",325,28,27,48,58,63,55,46
"0508",340,40,27,56,59,45,64,49
"0509",300,28,33,52,51,39,48,49
"0510",345,22,28,62,67,59,57,50
"0511",311,22,36,65,53,50,44,41
"0512",331,31,29,54,56,54,58,49
"0513",344,26,27,58,68,50,60,55
"0514",352,32,33,48,54,64,67,54
"0515",360,34,40,62,39,72,57,56
"0516",319,28,28,54,50,51,58,50
"0517",318,23,38,54,56,50,54,43
"0518",340,34,25,47,67,43,69,55
"0519",324,24,29,54,58,46,54,59
"0520",384,34,40,60,63,78,68,41
"0521",343,29,25,50,70,62,52,55
"0522",328,37,27,49,61,50,49,55
"0523",344,42,35,66,47,44,59,51
"0524",351,36,27,52,78,54,64,40
"0525",332,31,28,55,64,53,52,49
"0526",344,33,25,55,64,52,62,53
"0527",323,32,21,52,60,48,65,45
"0528",320,28,25,58,44,62,39,64
"0529",334,31,26,55,67,56,64,35
"0530",360,27,48,50,65,56,62,52
"0531",329,30,38,70,48,55,42,46
"0532",338,41,24,52,56,58,64,43
"0533",348,25,30,50,67,47,83,46
"0534",342,34,39,59,48,51,50,61
"0535",338,23,32,57,62,47,70,47
"0536",332,28,24,58,64,60,53,45
"0537",359,39,34,62,73,54,46,51
"0538",317,28,20,68,59,44,45,53
"0539",304,15,34,46,51,60,55,43
"0540",365,37,38,68,60,62,60,40
"0541",340,23,36,56,58,51,65,51
"0542",304,24,23,52,42,58,51,54
"0543",322,27,22,55,65,56,52,45
"0544",334,23,37,63,51,43,63,54
"0545",343,35,30,57,51,51,68,51
"0546",326,32,30,52,53,57,47,55
"0547",343,29,31,46,73,59,57,48
"0548",340,31,23,55,54,58,70,49
"0549",308,26,27,49,52,49,54,51
"0550",348,31,34,52,55,60,66,50
"0551",354,28,43,53,58,58,64,50
"0552",389,41,31,66,75,52,68,56
"0553",318,29,25,64,46,53,49,52
"0554",358,27,43,69,50,63,47,59
"0555",321,24,33,45,63,62,52,42
"0556",339,18,35,64,70,53,59,40
"0557",335,34,35,49,65,51,67,34
"0558",347,34,33,60,50,47,66,57
"0559",355,34,42,61,66,54,56,42
"0600",347,32,38,53,53,67,52,52
"0601",302,33,34,44,45,47,48,51
"0602",334,25,24,61,64,51,51,58
"0603",326,36,26,54,63,47,55,45
"0604",333,29,32,52,69,48,54,49
"0605",376,36,41,59,66,66,67,41
"0606",354,31,31,66,63,66,54,43
"0607",333,37,21,53,43,63,63,53
"0608",299,33,33,42,47,57,40,47
"0609",353,29,29,67,64,54,65,45
"0610",343,35,27,52,66,55,62,46
"0611",341,28,26,68,60,54,60,45
"0612",377,41,36,68,58,54,66,54
"0613",317,37,29,56,57,38,57,43
"0614",329,28,29,57,50,69,45,51
"0615",359,38,33,66,60,38,73,51
"0616",336,29,33,63,62,55,52,42
"0617",331,30,24,53,60,57,59,48
"0618",306,27,26,48,57,48,54,46
"0619",333,27,25,59,65,51,63,43
"0620",339,25,32,60,60,51,67,44
"0621",310,32,33,55,60,40,48,42
"0622",347,32,31,61,57,63,52,51
"0623",330,35,33,45,63,50,57,47
"0624",335,24,34,60,59,52,60,46
"0625",336,25,36,49,61,44,63,58
"0626",345,26,32,61,55,55,73,43
"0627",331,27,31,56,58,47,62,50
"0628",314,30,29,60,58,55,47,35
"0629",315,22,35,61,46,51,54,46
"0630",360,28,38,52,63,63,69,47
"0631",314,23,27,60,57,57,45,45
"0632",330,19,28,54,63,53,62,51
"0633",324,23,28,64,57,45,57,50
"0634",317,21,31,51,60,61,47,46
"0635",339,30,37,46,74,54,55,43
"0636",313,33,36,49,44,51,55,45
"0637",332,30,31,58,64,43,53,53
"0638",313,32,26,54,65,35,59,42
"0639",309,18,34,48,66,41,52,50
"0640",347,21,38,57,63,50,58,60
"0641",289,25,24,46,52,50,50,42
"0642",317,36,29,49,63,43,58,39
"0643",317,32,33,47,46,56,50,53
"0644",329,22,36,52,58,57,53,51
"0645",359,38,34,47,63,64,67,46
"0646",368,26,29,68,58,59,75,53
"0647",357,41,30,58,66,49,57,56
"0648",309,31,21,45,74,42,50,46
"0649",335,33,26,51,59,50,59,57
"0650",297,26,37,40,57,42,49,46
"0651",314,27,30,54,50,47,56,50
"0652",327,40,25,63,53,53,55,38
"0653",319,33,29,52,62,46,55,42
"0654",315,26,33,67,44,43,54,48
"0655",349,32,18,72,69,47,60,51
"0656",319,34,35,51,50,54,54,41
"0657",319,29,29,57,54,55,47,48
"0658",321,21,31,67,55,48,65,34
"0659",341,30,34,67,60,54,59,37
"0700",342,32,37,66,58,45,57,47
"0701",283,29,20,64,49,41,52,28
"0702",341,25,32,60,64,55,54,51
"0703",312,28,32,45,49,54,57,47
"0704",332,22,38,51,71,57,57,36
"0705",321,33,24,60,49,56,66,33
"0706",277,19,29,56,41,47,49,36
"0707",320,29,37,50,63,44,50,47
"0708",316,19,40,55,59,49,59,35
"0709",293,25,29,51,49,49,49,41
"0710",335,32,28,66,53,53,57,46
"0711",279,23,26,42,42,39,61,46
"0712",325,29,35,51,57,55,60,38
"0713",305,24,32,49,56,42,54,48
"0714",329,32,31,52,57,63,60,34
"0715",338,23,42,59,54,59,51,50
"0716",306,27,34,55,50,51,45,44
"0717",357,33,32,56,56,76,56,48
"0718",318,37,37,51,52,49,50,42
"0719",320,20,41,65,51,46,54,43
"0720",348,32,41,56,56,67,59,37
"0721",323,27,29,61,51,64,50,41
"0722",319,28,29,47,58,65,58,34
"0723",308,24,31,63,64,46,51,29
"0724",348,23,36,71,61,51,56,50
"0725",338,29,41,69,56,49,58,36
"0726",344,33,38,58,58,64,56,37
"0727",348,30,36,69,57,64,52,40
"0728",344,28,40,60,64,62,63,27
"0729",350,27,29,61,64,69,57,43
"0730",332,30,33,62,58,59,48,42
"0731",306,23,40,53,51,35,57,47
"0732",353,23,37,62,62,68,57,44
"0733",307,36,36,50,54,46,55,30
"0734",334,17,45,63,52,63,59,35
"0735",360,28,51,74,70,52,42,43
"0736",327,23,32,72,57,51,62,30
"0737",365,32,49,79,53,55,55,42
"0738",370,32,40,55,68,60,69,46
"0739",330,20,41,33,67,62,63,44
"0740",346,30,38,61,66,49,53,49
"0741",339,27,36,67,64,58,50,37
"0742",356,22,39,53,56,61,75,50
"0743",340,21,34,63,57,49,62,54
"0744",367,34,38,64,54,64,63,50
"0745",360,26,38,63,68,47,63,55
"0746",358,21,38,57,59,66,72,45
"0747",360,29,39,63,60,65,53,51
"0748",367,33,29,61,68,75,59,42
"0749",373,29,49,71,74,50,64,36
"0750",404,31,30,72,74,80,63,54
"0751",368,19,44,68,63,70,64,40
"0752",400,25,49,65,64,68,73,56
"0753",401,31,56,85,57,65,55,52
"0754",411,29,39,74,72,72,76,49
"0755",404,31,47,74,70,61,74,47
"0756",377,31,42,75,60,72,68,29
"0757",368,37,50,54,50,68,61,48
"0758",392,37,41,67,79,54,69,45
"0759",396,27,39,74,68,67,65,56
"0800",434,31,53,70,80,74,78,48
"0801",407,33,45,74,71,61,73,50
"0802",427,34,51,77,73,61,79,52
"0803",455,21,52,80,95,86,67,54
"0804",439,42,56,76,76,67,70,52
"0805",456,36,52,74,87,69,82,56
"0806",487,33,59,95,92,71,73,64
"0807",443,42,44,69,86,78,68,56
"0808",360,25,50,62,59,66,57,41
"0809",372,24,57,65,59,65,65,37
"0810",438,29,55,68,72,87,78,49
"0811",414,30,52,70,80,60,71,51
"0812",405,30,49,76,74,64,63,49
"0813",367,26,43,63,72,59,68,36
"0814",394,30,51,75,68,58,61,51
"0815",465,40,48,83,89,93,70,42
"0816",403,32,57,64,64,73,73,40
"0817",433,25,45,84,67,78,69,65
"0818",419,33,53,60,78,72,66,57
"0819",400,19,49,77,73,67,63,52
"0820",438,38,51,84,87,64,66,48
"0821",409,28,44,73,78,74,62,50
"0822",401,27,64,75,69,67,50,49
"0823",391,19,44,63,66,78,78,43
"0824",399,34,49,68,73,69,57,49
"0825",450,23,45,87,76,88,76,55
"0826",378,27,38,63,78,67,65,40
"0827",464,35,54,81,81,72,90,51
"0828",435,40,48,73,68,81,83,42
"0829",399,31,38,80,74,61,63,52
"0830",461,42,46,84,87,77,79,46
"0831",426,37,56,77,83,70,58,45
"0832",417,35,56,59,64,88,66,49
"0833",381,24,53,66,71,72,49,46
"0834",426,24,43,85,75,74,74,51
"0835",452,34,56,94,68,65,78,57
"0836",421,32,44,97,60,76,57,55
"0837",416,32,68,70,68,61,70,47
"0838",411,36,47,75,73,78,60,42
"0839",379,28,39,73,77,64,54,44
"0840",423,30,45,89,75,68,67,49
"0841",444,37,48,83,78,79,74,45
"0842",404,32,44,57,72,67,74,58
"0843",436,30,55,78,70,75,79,49
"0844",433,25,46,77,64,78,78,65
"0845",450,35,49,79,86,77,73,51
"0846",462,27,52,96,82,82,71,52
"0847",421,25,45,75,60,79,75,62
"0848",462,32,59,78,84,73,82,54
"0849",409,35,50,72,75,70,61,46
"0850",427,32,50,75,66,70,76,58
"0851",425,35,57,69,67,78,72,47
"0852",432,46,55,81,85,69,60,36
"0853",420,25,60,70,71,74,75,45
"0854",412,37,58,67,58,63,74,55
"0855",440,32,51,82,71,75,80,49
"0856",430,25,61,88,66,67,72,51
"0857",374,32,46,64,62,69,61,40
"0858",444,45,56,80,65,73,66,59
"0859",414,36,45,76,66,68,71,52
"0900",503,35,59,80,98,86,87,58
"0901",393,27,47,80,66,54,69,50
"0902",415,32,54,75,86,66,61,41
"0903",402,42,50,63,73,61,66,47
"0904",476,46,54,80,82,88,75,51
"0905",456,28,57,59,93,82,82,55
"0906",472,42,49,82,90,73,75,61
"0907",459,38,56,72,94,80,75,44
"0908",437,41,52,64,88,67,72,53
"0909",450,32,61,80,82,77,72,46
"0910",487,36,59,83,96,85,76,52
"0911",439,24,63,78,69,79,79,47
"0912",447,40,50,77,87,69,82,42
"0913",409,38,45,61,72,73,69,51
"0914",459,40,54,87,76,86,70,46
"0915",489,26,49,86,87,103,77,61
"0916",437,30,50,87,71,82,74,43
"0917",430,35,54,71,81,71,72,46
"0918",460,44,56,76,84,68,82,50
"0919",463,30,45,81,75,87,91,54
"0920",491,26,59,102,73,73,101,57
"0921",497,37,52,76,90,86,84,72
"0922",437,30,59,60,91,83,64,50
"0923",432,38,54,83,68,63,82,44
"0924",422,28,39,63,72,78,78,64
"0925",506,30,71,95,102,78,74,56
"0926",451,28,51,87,79,74,85,47
"0927",493,39,57,81,95,91,75,55
"0928",497,35,57,95,90,90,87,43
"0929",426,37,54,65,92,64,68,46
"0930",531,41,56,97,114,92,70,61
"0931",500,43,67,99,80,89,73,49
"0932",473,36,47,81,87,92,73,57
"0933",444,38,54,75,73,77,77,50
"0934",498,43,71,84,88,75,79,58
"0935",477,31,51,94,78,83,86,54
"0936",463,31,64,76,80,80,70,62
"0937",435,23,49,90,80,72,77,44
"0938",477,31,72,91,86,72,82,43
"0939",431,35,54,78,70,58,87,49
"0940",519,42,59,105,99,75,83,56
"0941",481,31,59,82,99,80,84,46
"0942",473,33,52,89,78,87,72,62
"0943",497,34,60,98,75,98,76,56
"0944",515,31,59,97,104,86,82,56
"0945",494,34,63,97,94,68,82,56
"0946",457,31,48,89,99,66,73,51
