DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0237",71,5,3,13,12,11,9,18
"0238",67,6,4,10,11,14,9,13
"0239",93,11,5,20,15,18,14,10
"0240",84,10,7,12,20,15,13,7
"0241",84,10,11,15,9,10,15,14
"0242",86,7,7,13,20,17,12,10
"0243",80,9,6,11,20,7,11,16
"0244",84,5,7,16,21,7,16,12
"0245",69,9,6,11,9,9,14,11
"0246",64,7,5,12,12,7,16,5
"0247",80,10,6,9,15,16,14,10
"0248",69,8,4,11,13,17,7,9
"0249",85,5,7,12,13,15,17,16
"0250",80,10,8,13,14,12,15,8
"0251",87,6,4,16,15,11,16,19
"0252",75,8,10,9,11,14,11,12
"0253",77,10,4,13,12,13,12,13
"0254",89,9,13,11,20,13,11,12
"0255",75,9,5,9,11,15,11,15
"0256",72,9,8,8,12,11,12,12
"0257",82,14,5,4,15,22,10,12
"0258",72,8,4,18,15,8,13,6
"0259",78,11,4,8,11,11,19,14
"0300",82,5,6,16,21,13,10,11
"0301",70,10,2,10,16,6,12,14
"0302",97,12,8,12,16,15,21,13
"0303",71,9,5,14,12,15,10,6
"0304",73,5,7,7,15,18,13,8
"0305",70,6,3,8,13,15,10,15
"0306",82,6,5,13,14,14,19,11
"0307",88,9,6,11,13,16,16,17
"0308",87,6,5,14,18,18,10,16
"0309",84,6,7,15,14,11,15,16
"0310",82,6,14,16,16,17,7,6
"0311",74,9,10,10,18,11,10,6
"0312",69,8,9,8,12,7,15,10
"0313",77,7,5,13,11,13,10,18
"0314",90,4,7,9,15,16,15,24
"0315",79,8,9,15,13,9,15,10
"0316",78,7,5,16,20,12,11,7
"0317",71,4,7,9,23,10,6,12
"0318",67,3,6,6,10,13,17,12
"0319",68,6,4,10,15,11,15,7
"0320",88,9,4,14,23,11,17,10
"0321",67,4,7,10,13,14,10,9
"0322",59,3,5,5,20,10,9,7
"0323",68,5,8,7,18,8,10,12
"0324",85,7,6,17,12,16,17,10
"0325",74,6,3,10,10,14,15,16
"0326",79,10,5,17,11,11,10,15
"0327",68,6,6,9,14,13,11,9
"0328",74,8,7,12,12,14,7,14
"0329",75,5,6,9,16,12,13,14
"0330",99,3,11,21,10,19,14,21
"0331",73,12,"-",9,10,18,13,11
"0332",72,9,1,11,12,13,12,14
"0333",65,10,3,5,8,17,9,13
"0334",77,9,3,11,13,13,12,16
"0335",69,4,7,15,14,9,9,11
"0336",68,4,9,7,11,11,10,16
"0337",62,5,10,11,12,4,12,8
"0338",67,9,5,7,10,13,12,11
"0339",80,10,6,10,13,13,19,9
"0340",72,8,3,6,16,13,12,14
"0341",77,11,8,9,10,14,17,8
"0342",78,11,5,12,17,8,15,10
"0343",62,8,3,10,12,7,13,9
"0344",67,6,3,16,7,8,17,10
"0345",73,8,1,15,10,13,14,12
"0346",83,5,5,18,15,13,12,15
"0347",65,5,6,8,6,18,9,13
"0348",71,10,8,9,11,11,13,9
"0349",65,10,6,10,10,13,8,8
"0350",65,8,11,12,9,8,4,13
"0351",64,3,4,2,12,12,12,19
"0352",87,10,6,12,14,14,13,18
"0353",85,7,5,11,19,16,13,14
"0354",77,4,9,4,11,17,16,16
"0355",77,8,7,20,18,13,9,2
"0356",78,7,5,16,14,12,12,12
"0357",64,11,7,9,10,6,14,7
"0358",69,8,4,10,14,11,13,9
"0359",74,7,1,11,13,14,15,13
"0400",75,4,8,8,14,16,17,8
"0401",69,8,7,11,11,6,8,18
"0402",71,8,7,7,12,13,10,14
"0403",78,8,5,13,9,14,12,17
"0404",72,8,6,10,16,15,9,8
"0405",70,10,5,13,12,17,6,7
"0406",74,10,5,16,12,10,12,9
"0407",81,7,9,13,15,16,6,15
"0408",55,6,3,13,10,3,9,11
"0409",72,12,5,2,13,13,16,11
"0410",72,9,6,10,10,15,11,11
"0411",58,5,6,6,14,6,7,14
"0412",69,10,1,12,9,12,13,12
"0413",68,5,11,8,12,12,11,9
"0414",74,7,9,8,11,11,16,12
"0415",84,9,6,12,20,14,13,10
"0416",64,6,4,16,11,11,9,7
"0417",48,3,2,10,9,11,4,9
"0418",79,2,4,11,13,22,12,15
"0419",70,8,4,9,16,13,9,11
"0420",73,7,2,12,19,12,13,8
"0421",77,9,9,9,15,16,12,7
"0422",58,2,7,4,15,12,8,10
"0423",66,8,10,9,12,10,9,8
"0424",65,"-",6,8,16,12,10,13
"0425",60,9,4,13,5,14,8,7
"0426",60,4,5,11,7,14,8,11
"0427",62,7,3,11,9,9,9,14
"0428",57,1,4,11,12,9,12,8
"0429",61,6,7,7,12,4,14,11
"0430",55,7,4,10,7,11,9,7
"0431",78,6,7,14,12,13,13,13
"0432",70,6,6,15,8,18,9,8
"0433",78,7,3,13,17,15,13,10
"0434",72,4,6,9,13,11,15,14
"0435",64,7,7,9,12,16,6,7
"0436",63,3,5,10,14,9,13,9
